e:joy >>> 😀 ,😀
e:pistol >>> 🔫 ,🔫
e:bow_and_arrow >>> 🏹 ,🏹
e:shield >>> 🛡️ ,🛡️
e:wrench >>> 🔧 ,🔧
e:nut_and_bolt >>> 🔩 ,🔩
e:gear >>> ⚙️ ,⚙️
e:clamp >>> 🗜️ ,🗜️
e:balance_scale >>> ⚖️ ,⚖️
e:probing_cane >>> 🦯 ,🦯
e:link >>> 🔗 ,🔗
e:chains >>> ⛓️ ,⛓️
e:toolbox >>> 🧰 ,🧰
e:magnet >>> 🧲 ,🧲
e:ladder >>> 🪜 ,🪜
e:alembic >>> ⚗️ ,⚗️
e:test_tube >>> 🧪 ,🧪
e:petri_dish >>> 🧫 ,🧫
e:dna >>> 🧬 ,🧬
e:microscope >>> 🔬 ,🔬
e:telescope >>> 🔭 ,🔭
e:satellite_antenna >>> 📡 ,📡
e:syringe >>> 💉 ,💉
e:drop_of_blood >>> 🩸 ,🩸
e:pill >>> 💊 ,💊
e:adhesive_bandage >>> 🩹 ,🩹
e:stethoscope >>> 🩺 ,🩺
e:door >>> 🚪 ,🚪
e:elevator >>> 🛗 ,🛗
e:mirror >>> 🪞 ,🪞
e:window >>> 🪟 ,🪟
e:bed >>> 🛏️ ,🛏️
e:couch_and_lamp >>> 🛋️ ,🛋️
e:chair >>> 🪑 ,🪑
e:toilet >>> 🚽 ,🚽
e:shower >>> 🚿 ,🚿
e:bathtub >>> 🛁 ,🛁
e:mouse_trap >>> 🪤 ,🪤
e:razor >>> 🪒 ,🪒
e:broom >>> 🧹 ,🧹
e:basket >>> 🧺 ,🧺
e:sewing_needle >>> 🪡 ,🪡
e:roll_of_paper >>> 🧻 ,🧻
e:soap >>> 🧼 ,🧼
e:sponge >>> 🧽 ,🧽
e:fire_extinguisher >>> 🧯 ,🧯
e:shopping_cart >>> 🛒 ,🛒
e:cigarette >>> 🚬 ,🚬
e:coffin >>> ⚰️ ,⚰️
e:headstone >>> 🪦 ,🪦
e:funeral_urn >>> ⚱️ ,⚱️
e:moai >>> 🗿 ,🗿
e:umbrella_with_rain_drops >>> ☔ ,☔
e:sun_behind_small_cloud >>> 🌤️ ,🌤️
e:sun_behind_large_cloud >>> 🌥️ ,🌥️
e:sun_behind_rain_cloud >>> 🌦️ ,🌦️
e:cloud >>> ☁️ ,☁️
e:cloud_with_rain >>> 🌧️ ,🌧️
e:cloud_with_lightning_and_rain >>> ⛈️ ,⛈️
e:cloud_with_lightning >>> 🌩️ ,🌩️
e:cloud_with_snow >>> 🌨️ ,🌨️
e:snowflake >>> ❄️ ,❄️
e:snowman_without_snow >>> ⛄ ,⛄
e:comet >>> ☄️ ,☄️
e:fire >>> 🔥 ,🔥
e:droplet >>> 💧 ,💧
e:water_wave >>> 🌊 ,🌊
e:jack_o_lantern >>> 🎃 ,🎃
